Arrival Time, Inter Arrival Time
6.049011,6.049011
7.057955,1.008944
18.046684,10.988729
21.782724,3.736040
26.354372,4.571648
34.331086,7.976714
34.750799,0.419713
39.348175,4.597376
43.585728,4.237554
47.681707,4.095978
49.301652,1.619945
50.050645,0.748993
54.146924,4.096279
72.471338,18.324414
82.062367,9.591029
82.764860,0.702493
87.843991,5.079131
93.454406,5.610415
97.883988,4.429582
100.513118,2.629130
126.621660,26.108542
129.889699,3.268039
151.604781,21.715082
155.507961,3.903180
162.610590,7.102629
168.216329,5.605738
168.490281,0.273952
179.091374,10.601094
180.440098,1.348724
183.290514,2.850416
186.184425,2.893910
192.478364,6.293940
202.225108,9.746744
202.240926,0.015818
205.662792,3.421865
206.706691,1.043900
220.617163,13.910471
228.235249,7.618086
229.145829,0.910581
244.418658,15.272828
249.206142,4.787484
250.080589,0.874448
250.557147,0.476558
251.483907,0.926760
257.466182,5.982275
262.433953,4.967770
263.347137,0.913185
268.807830,5.460693
272.025670,3.217840
274.023517,1.997847
282.614930,8.591413
288.619953,6.005023
292.300007,3.680053
292.970316,0.670309
310.340592,17.370276
310.932136,0.591544
311.092843,0.160707
314.414647,3.321804
317.458781,3.044134
333.498270,16.039489
345.585363,12.087093
345.707958,0.122595
353.580878,7.872920
360.268790,6.687912
366.092302,5.823512
367.442363,1.350061
382.125469,14.683106
382.349682,0.224213
387.892103,5.542421
390.196126,2.304023
411.606372,21.410246
419.777581,8.171208
424.001569,4.223988
428.149265,4.147696
428.807095,0.657830
431.326445,2.519350
431.574483,0.248037
431.636302,0.061820
434.962398,3.326096
454.576918,19.614520
456.816832,2.239914
468.416092,11.599260
469.200309,0.784216
472.655266,3.454957
476.224034,3.568768
482.469428,6.245394
483.153442,0.684014
493.180029,10.026587
499.718053,6.538024
502.106258,2.388205
503.793350,1.687092
505.303759,1.510409
512.392501,7.088742
514.071873,1.679372
521.997372,7.925499
524.323620,2.326249
531.839133,7.515513
540.257332,8.418199
541.957820,1.700488
553.277394,11.319574
553.555826,0.278432
562.489896,8.934070
570.908651,8.418755
576.329816,5.421165
582.465539,6.135723
586.202126,3.736587
592.739086,6.536960
597.084135,4.345049
603.646309,6.562175
612.974128,9.327819
619.907470,6.933342
621.680491,1.773021
625.445536,3.765046
635.310410,9.864874
638.151157,2.840747
640.490734,2.339578
643.222847,2.732113
670.219418,26.996571
687.650671,17.431253
693.580930,5.930259
695.464843,1.883913
712.509025,17.044183
713.017290,0.508264
725.556000,12.538710
729.784574,4.228574
743.466613,13.682039
760.362750,16.896136
763.778829,3.416079
767.445545,3.666716
768.870644,1.425099
774.079148,5.208504
776.813819,2.734671
779.717168,2.903350
780.097339,0.380171
792.220874,12.123535
794.536688,2.315814
800.594209,6.057521
817.574085,16.979876
819.002942,1.428857
820.543162,1.540220
824.617506,4.074344
827.177644,2.560137
837.713215,10.535572
848.094467,10.381252
849.382629,1.288162
853.336558,3.953929
853.700161,0.363604
857.132169,3.432008
857.391172,0.259002
862.385502,4.994330
865.014616,2.629114
869.326450,4.311835
878.623144,9.296694
890.377648,11.754504
893.563644,3.185995
7.746382,7.746382
8.519136,0.772754
11.489181,2.970045
12.957201,1.468020
14.195805,1.238604
21.527233,7.331428
22.872189,1.344956
26.661792,3.789603
26.897913,0.236121
27.825887,0.927974
30.162536,2.336649
32.958624,2.796088
33.518459,0.559835
37.551437,4.032978
39.136899,1.585462
40.327426,1.190528
40.487108,0.159681
40.974905,0.487798
42.446356,1.471450
44.872719,2.426363
44.969033,0.096315
46.373550,1.404517
48.219170,1.845619
49.125307,0.906137
60.365993,11.240685
64.176097,3.810104
64.996729,0.820632
65.498534,0.501806
70.445498,4.946963
73.175058,2.729560
73.240171,0.065114
74.872510,1.632338
76.221432,1.348922
77.247061,1.025629
79.893278,2.646217
81.008786,1.115508
83.245630,2.236843
83.251709,0.006079
87.733163,4.481454
91.611212,3.878049
94.700909,3.089697
96.702402,2.001493
99.004524,2.302122
99.591360,0.586836
107.631172,8.039812
108.082158,0.450985
112.787760,4.705602
115.752213,2.964453
116.293038,0.540825
119.405157,3.112119
120.973277,1.568120
121.810432,0.837156
122.052734,0.242302
123.432402,1.379669
128.234901,4.802499
130.566885,2.331984
133.523860,2.956975
141.096424,7.572564
147.208968,6.112544
153.284038,6.075070
154.423570,1.139532
155.081198,0.657628
160.121202,5.040004
162.061487,1.940285
165.172350,3.110863
167.814053,2.641702
171.680315,3.866262
178.892129,7.211814
182.620580,3.728451
185.009742,2.389161
186.458698,1.448957
194.974647,8.515949
198.921381,3.946734
202.598710,3.677330
204.832915,2.234204
206.760804,1.927890
209.371310,2.610505
209.768428,0.397119
210.269983,0.501555
211.012881,0.742898
214.322319,3.309438
217.866847,3.544528
217.956969,0.090122
219.003037,1.046067
220.967404,1.964368
224.554960,3.587556
230.322085,5.767125
235.940042,5.617957
239.443511,3.503468
243.053539,3.610029
244.636872,1.583333
248.522904,3.886031
248.949327,0.426423
258.061096,9.111769
261.303375,3.242279
264.229361,2.925986
268.470843,4.241482
270.941461,2.470618
274.119058,3.177597
276.450312,2.331254
287.468922,11.018610
288.038114,0.569192
289.280689,1.242575
292.705455,3.424766
298.623167,5.917712
298.699091,0.075924
299.569001,0.869910
300.103136,0.534135
300.520183,0.417047
306.910945,6.390762
307.106453,0.195509
307.767652,0.661199
308.601777,0.834124
310.033782,1.432006
312.527071,2.493288
314.028894,1.501824
315.646683,1.617789
316.687677,1.040994
323.859867,7.172189
328.684203,4.824336
328.961020,0.276817
330.109121,1.148101
334.831175,4.722054
335.818572,0.987398
336.201419,0.382847
340.060025,3.858605
340.073805,0.013780
340.375127,0.301322
345.352480,4.977353
346.151035,0.798555
346.438439,0.287404
346.598412,0.159973
349.741478,3.143066
350.564694,0.823216
354.510379,3.945685
357.079919,2.569540
364.714101,7.634182
367.472482,2.758380
369.841781,2.369300
372.761900,2.920118
372.904824,0.142924
377.754100,4.849276
379.959241,2.205142
379.984467,0.025226
382.468005,2.483537
383.277123,0.809119
383.286000,0.008877
383.751109,0.465109
384.388095,0.636986
386.453137,2.065042
386.673533,0.220396
387.980205,1.306672
391.160742,3.180537
397.043738,5.882996
397.296769,0.253031
399.002405,1.705636
402.791211,3.788806
403.135755,0.344543
404.268668,1.132913
406.974724,2.706055
408.846262,1.871538
409.255042,0.408780
410.239153,0.984111
411.516779,1.277626
412.408794,0.892014
413.028597,0.619803
416.851748,3.823152
421.648334,4.796586
421.854621,0.206287
421.973307,0.118685
426.031088,4.057781
427.194194,1.163107
428.543183,1.348988
430.783734,2.240551
440.413255,9.629522
441.476202,1.062946
448.130605,6.654403
448.579562,0.448957
452.313035,3.733473
459.519698,7.206663
459.811753,0.292055
461.275195,1.463442
469.520489,8.245293
470.984749,1.464260
474.320601,3.335852
475.883732,1.563131
477.403564,1.519832
478.152084,0.748521
483.227922,5.075837
485.737122,2.509201
486.551493,0.814371
489.723483,3.171990
490.785884,1.062401
494.487941,3.702057
498.151445,3.663504
500.603338,2.451893
501.185598,0.582260
501.965015,0.779417
502.023043,0.058028
506.850151,4.827108
515.544705,8.694554
517.840787,2.296082
520.137296,2.296509
520.924006,0.786709
533.844665,12.920659
537.143600,3.298935
538.146626,1.003026
541.345879,3.199252
546.319143,4.973265
548.155025,1.835882
549.761430,1.606405
550.715925,0.954494
551.362894,0.646970
551.606661,0.243766
552.933063,1.326403
554.688928,1.755865
563.605496,8.916568
563.637202,0.031706
564.212639,0.575437
565.472403,1.259764
567.757632,2.285228
569.651444,1.893812
573.078537,3.427094
579.955775,6.877238
580.232894,0.277119
581.981422,1.748528
584.493226,2.511804
587.397517,2.904291
589.252098,1.854581
591.604045,2.351947
591.620060,0.016014
591.716413,0.096354
592.092100,0.375687
593.654407,1.562307
594.199010,0.544603
597.385528,3.186518
597.470102,0.084574
598.231171,0.761070
598.567311,0.336140
605.976453,7.409142
606.436926,0.460473
609.208006,2.771081
609.302750,0.094744
609.424345,0.121595
612.564406,3.140061
613.789439,1.225033
620.845115,7.055676
622.339678,1.494563
626.004145,3.664466
626.498836,0.494691
628.865152,2.366317
633.132405,4.267253
635.296688,2.164283
636.930533,1.633845
637.079983,0.149450
638.029112,0.949129
638.403839,0.374727
642.886199,4.482359
647.199784,4.313585
648.706896,1.507113
651.095568,2.388671
652.016803,0.921235
654.584729,2.567927
655.205313,0.620584
656.814002,1.608689
657.066784,0.252782
658.711019,1.644235
660.393510,1.682490
661.923507,1.529998
663.042648,1.119141
663.451866,0.409218
665.372304,1.920439
665.410522,0.038218
674.012931,8.602409
678.361591,4.348660
683.496240,5.134649
683.763760,0.267520
686.583415,2.819655
687.673325,1.089910
691.002575,3.329250
695.856616,4.854041
711.146253,15.289637
712.849615,1.703362
714.057420,1.207806
717.019792,2.962372
719.068738,2.048946
719.525670,0.456932
721.882974,2.357304
724.238931,2.355958
728.814478,4.575547
731.115921,2.301442
731.889209,0.773289
732.926737,1.037527
736.186109,3.259372
741.405441,5.219332
742.278181,0.872740
742.433687,0.155506
753.442266,11.008579
755.162303,1.720037
756.395206,1.232902
757.743791,1.348585
759.003588,1.259797
763.822396,4.818809
763.869148,0.046751
764.656259,0.787112
767.564054,2.907794
770.492050,2.927996
772.214018,1.721968
773.723722,1.509704
775.946715,2.222992
785.489582,9.542867
785.505307,0.015724
791.277123,5.771817
795.148848,3.871725
799.285079,4.136231
800.593968,1.308889
800.968897,0.374929
801.047321,0.078424
801.886391,0.839070
803.620137,1.733746
809.695818,6.075681
811.757492,2.061674
812.053803,0.296311
820.554449,8.500646
824.911133,4.356685
828.286387,3.375254
831.810733,3.524346
832.891696,1.080962
833.299072,0.407376
836.831249,3.532177
839.836449,3.005199
841.821350,1.984902
841.892271,0.070920
844.997378,3.105107
846.196380,1.199002
847.151066,0.954687
848.148471,0.997404
849.080256,0.931785
849.117321,0.037065
850.004081,0.886760
850.142209,0.138128
854.028371,3.886162
854.049101,0.020729
854.298691,0.249590
857.241693,2.943003
860.602843,3.361149
863.916733,3.313891
864.996364,1.079631
865.933250,0.936886
866.171252,0.238003
866.429875,0.258623
874.429772,7.999897
875.680971,1.251199
876.856769,1.175798
879.565205,2.708437
880.756172,1.190967
881.077326,0.321154
881.987472,0.910146
882.172884,0.185413
883.488075,1.315191
884.015794,0.527719
885.532652,1.516858
889.759934,4.227281
892.114963,2.355030
895.536753,3.421790
898.981847,3.445094
0.698162,0.698162
1.284452,0.586290
2.289918,1.005466
4.491458,2.201540
5.566241,1.074783
6.289065,0.722825
7.216257,0.927192
10.327420,3.111163
12.323153,1.995733
12.860423,0.537271
14.970934,2.110511
17.104373,2.133439
19.984844,2.880471
